department,first_name,last_name,rmp_score,num_reviews,profile_url
Mathematics,Dave,Morrison,2.0,15,https://ucsbplat.com/instructor/VGVhY2hlci0xMzg3NDc4
Mathematics,John,Kaminsky,3.2,15,https://ucsbplat.com/instructor/VGVhY2hlci0yMjg2NjY3
Mathematics,Elie,Abdo,4.9,14,https://ucsbplat.com/instructor/VGVhY2hlci0yOTUwNTI3
Mathematics,Priyam,Patel,4.5,14,https://ucsbplat.com/instructor/VGVhY2hlci0yMjU0NzYy
Mathematics,Qiang,Guang,4.0,13,https://ucsbplat.com/instructor/VGVhY2hlci0yMjQxMDc5
Mathematics,Fengrui,Yang,1.5,13,https://ucsbplat.com/instructor/VGVhY2hlci0zMDQyMjIw
Mathematics,Jingrun,Chen,3.7,13,https://ucsbplat.com/instructor/VGVhY2hlci0xNTkwNzI2
Mathematics,War,Shah,3.5,13,https://ucsbplat.com/instructor/VGVhY2hlci0yOTE3MDQ2
Mathematics,Ellie,Grano,2.8,13,https://ucsbplat.com/instructor/VGVhY2hlci0xNjIwNjAw
Mathematics,Garo,Sarajian,2.2,12,https://ucsbplat.com/instructor/VGVhY2hlci0yNjE4NDA0
Mathematics,Xin,Zhou,2.5,12,https://ucsbplat.com/instructor/VGVhY2hlci0yNDA2NDE4
Mathematics,Ben,Coté,4.6,11,https://ucsbplat.com/instructor/VGVhY2hlci0xOTMwODk1
Mathematics,Akos,Nagy,3.2,11,https://ucsbplat.com/instructor/VGVhY2hlci0yNzg3Nzc5
Mathematics,Cristian,Esparza,4.3,11,https://ucsbplat.com/instructor/VGVhY2hlci0yMDk0MDQy
Mathematics,Eric,Samperton,3.3,11,https://ucsbplat.com/instructor/VGVhY2hlci0yNDcwOTA1
Mathematics,Jared,Kubler,2.2,10,https://ucsbplat.com/instructor/VGVhY2hlci0yMTc1OTA0
Mathematics,Troy,Kling,5.0,10,https://ucsbplat.com/instructor/VGVhY2hlci0yODEzODU5
Mathematics,Brandon,Kerr,5.0,10,https://ucsbplat.com/instructor/VGVhY2hlci0xNjc5MTk0
